index,start,end,text,speaker
1,4614.6,4623.16,"on n'a pas reçu l'argent du notaire ici, là Julien la vente 81 846 on n'a pas reçu",Inconnu
2,4623.16,4626.56,l'argent du notaire donc vous voyez déjà là il y a cette vente qui est pour vous normalement,Inconnu
3,4626.56,4633.44,"Julien et il n'y en a pas d'autre à vous, entre-temps je vous fais tellement de virements toute la",Inconnu
4,4633.44,4641.84,"journée, je vous en ai fait combien la nuit dernière Julien, oui je vous ai fait 3 ou 4 virements",Inconnu
5,4641.84,4648.12,"Julien la nuit dernière, regardez si je fais Bayeul, Julien il est riche à millions c'est lui",Inconnu
6,4648.12,4655.32,"qu'il faut l'épouser, regardez hop là encore, Julien il est partout donc félicitations à",Inconnu
7,4655.32,4661.52,Mickael c'est une très très belle vente bravo à lui c'est quelque chose qu'il faut souligner,Inconnu
8,4661.52,4665.0,parce que quand on se donne du mal et qu'on est performant il faut savoir le reconnaître,Inconnu
9,4665.0,4675.32,"bravo à lui, non il n'y en a qu'un en janvier, Julien il est trop riche on lui donne trop d'argent",Inconnu
10,4675.32,4685.32,"beaucoup trop d'argent, oh hugue aussi regardez ça, il va racheter la lucarne bientôt, ça n'arrête",Inconnu
11,4685.32,4691.32,jamais donc vous voyez tout ce qui est en bleu c'est payé et à chaque fois que c'est en blanc c'est,Inconnu
12,4691.32,4694.08,parce qu'il vous manque un élément là il nous manque l'encaissement c'est à dire qu'on a,Inconnu
13,4694.08,4700.56,pas reçu de l'argent vulnéraire et la facture de margerie ici on a reçu l'argent mais on n'a pas,Inconnu
14,4700.56,4706.04,l'attestation de vente par exemple et on n'a pas la facture de l'argent ici pour Julien on n'a,Inconnu
15,4706.04,4711.64,pas reçu l'argent vulnéraire voyez dès qu'un dossier est complet on le passe sans paiement plus,Inconnu
16,4711.64,4716.0,les droits d'auteur de Zannini pour une je ne vous raconte pas le fric qui là c'est clair c'est,Inconnu
17,4716.0,4725.28,clair ok qu'est ce qu'on a d'autre comme question à voir là on a répondu à pas mal de trucs là,Inconnu
18,4725.28,4736.48,dessus oui rcp aigri on arrive au moment où vous devez nous envoyer vos rcp c'est à dire vos,Inconnu
19,4736.48,4745.0,attestations d'assurance pour l'année 2024 vous savez chaque année assez fait bravo Sandrine vous,Inconnu
20,4745.0,4750.08,devez nous envoyer votre rcp donc on va vous envoyer un email à tous là bientôt pour dire les,Inconnu
21,4750.08,4754.64,rcp 2004 merci les envoyer d'arbres on va vous envoyer deux emails un email en décembre et un,Inconnu
22,4754.64,4760.68,email début janvier comme on fait chaque année et on doit avoir vos rcp pour le 10 janvier comme,Inconnu
23,4760.68,4767.04,tous les ans si c'est pas fait faite le si c'est fait déjà chapeau merci également les grilles,Inconnu
24,4767.04,4772.48,vous savez que vous pouvez modifier vos grilles d'honoraires pour les ans début janvier alors,Inconnu
25,4772.52,4779.64,ceux d'entre vous qui sont dans le programme de monter en gamme vous pourrez modifier vos grilles,Inconnu
26,4779.64,4785.2,même en dehors de ce délai parce qu'on revoit dans le programme de monter en gamme les grilles,Inconnu
27,4785.2,4792.08,dans le détail donc vous pourrez les modifier sans avoir ces contraintes de délai ceux d'entre,Inconnu
28,4792.08,4796.16,vous qui ne sont pas dans le programme de monter en gamme déjà pourquoi vous n'y êtes pas vous,Inconnu
29,4796.16,4800.84,gagnerez plus d'argent si vous faites et vous pourrez vous pouvez pas donc si vous n'êtes pas,Inconnu
30,4800.84,4807.44,dans ce programme à ce sujet très rapidement dans ce programme j'ai mis à jour le fichier des grilles,Inconnu
31,4807.44,4812.48,concurrentes d'ailleurs il s'appelle 13 novembre il faut que je change son nom je vais changer son,Inconnu
32,4812.48,4825.12,nom tout de suite ça doit s'appeler 21 décembre donc attendez faut que je déplace ça hop hop ceux,Inconnu
33,4825.12,4831.2,d'entre vous qui sont intéressés je l'appelle tout de suite 21 décembre,Inconnu
34,4831.2,4841.44,voilà le fichier des grilles concurrentes je vous le renvoie à tous si vous êtes,Inconnu
35,4841.44,4850.28,intéressé par le programme de monter en gamme le lien il est là et copier le lien dropbox je,Inconnu
36,4850.28,4858.8,vous l'envoie à tous envoyer à tous c'est le fichier la première base de travail d'étude,Inconnu
37,4858.8,4868.4,de votre concurrence dans votre secteur avec la liste de vos concurrents avec la moyenne des grilles,Inconnu
38,4868.4,4873.76,concurrentes on fait ça ensemble on fait ça ensemble les services apportés par vos concurrents et la,Inconnu
39,4873.76,4879.64,liste des biens spectaculaires donc gardez tous ce fichier côté si vous voulez adhérer à ce,Inconnu
40,4879.64,4883.48,programme d'ailleurs en parlant de julien il faudrait qu'on prévoit une petite rencontre,Inconnu
41,4883.48,4891.68,supplémentaire là pour pour avancer un petit peu là-dessus sandrine nous dit une question pour la,Inconnu
42,4891.68,4895.24,cotisation annuelle planète force on reçoit un rappel combien de temps avant l'anniversaire,Inconnu
43,4895.24,4900.68,vous n'en recevez pas vous n'en recevez pas c'est à vous de vous manifester parce que les agents,Inconnu
44,4900.68,4905.76,qui payent annuellement sont en minorité et on n'a pas mis en place un système de rappel donc,Inconnu
45,4905.76,4913.64,on n'en a pas on n'en a pas donc on n'en a pas du tout. Dernière chose et après mis à part les,Inconnu
46,4913.64,4919.42,questions je vous ficherai la paix et on va prendre la question de l'adjet juste après les,Inconnu
47,4919.42,4925.04,photopub portraits les photopub portraits on a vu se multiplier là ces derniers jours des,Inconnu
48,4925.04,4931.84,photopub en portrait dans eglantine et donc dans les sites de diffusion il faut pas pourquoi,Inconnu
49,4931.84,4938.8,je vais vous montrer qu'est ce que c'est une photo au format portrait voici un exemple c'est,Inconnu
50,4938.8,4944.48,pas le bon c'est pas le bon numéro Mathieu Ségouret il m'a donné un numéro de dominique,Inconnu
51,4944.48,4948.84,bender alors ça devait être un numéro de dominique cartel c'est pas grave donc ça c'est,Inconnu
52,4948.84,4955.86,une photo au format paysage c'est à dire le bon format format paysage regardez la différence,Inconnu
53,4955.86,4961.16,quand vous prenez une photo c'est est ce que vous mettez votre appareil photo à la verticale ou à,Inconnu
54,4961.16,4973.48,l'horizontale une photo au format portrait elle a cette forme là une photo au format paysage,Inconnu
55,4973.48,4982.0,elle a cette forme là les photos doivent être au format paysage le format portrait c'est bien,Inconnu
56,4982.0,4988.0,pour les réseaux sociaux c'est pas bien pour la diffusion des annonces sur internet donc ici,Inconnu
57,4988.0,4995.56,dominique bender à les bonnes photos au format paysage mais si je prends dominique cartel il,Inconnu
58,4995.56,5002.52,m'a donné un autre document Mathieu on voit que lui il a mis des mailles c'est encore dominique,Inconnu
59,5002.52,5009.04,donc en gros Mathieu m'a envoyé complètement les mauvais numéros Mathieu a envoyé les mauvais,Inconnu
60,5009.04,5017.6,numéros on va regarder Frédéric parce que j'ai un exemple de Frédéric on va voir ça et Frédéric,Inconnu
61,5017.6,5024.04,non c'est format paysage aussi eh ben dis donc Mathieu Mathieu a picolé qu'est ce qu'il me dit,Inconnu
62,5024.04,5033.44,ah ils ont corrigé depuis Mathieu accuse les négociateurs d'avoir corrigé depuis est ce,Inconnu
63,5033.44,5038.32,qu'on n'y croit est ce qu'on n'y croit pas donc en gros est ce que Mathieu nous dit la vérité ou,Inconnu
64,5038.32,5042.04,est ce que tout simplement les agents ont agi rapidement pour modifier dans ce cas là bravo,Inconnu
65,5042.04,5048.28,à eux parce qu'il faut modifier on va aller regarder chez Christian chez Christian bah c'est,Inconnu
66,5048.28,5056.28,corrigé aussi Mathieu ah non ça c'est dégueulasse non ça c'est pas le bon format ça c'est pas le,Inconnu
67,5056.28,5062.32,bon format donc on va aller sur alalucan.com voilà ça c'est pas le bon format donc Mathieu a raison,Inconnu
68,5062.32,5071.6,comme toujours me direz-vous comme toujours me direz-vous acheter et on va chercher la référence,Inconnu
69,5071.6,5081.88,quand vous prenez une photo au mauvais format c'est à dire au format vertical alors là il,Inconnu
70,5081.88,5085.8,y a un deuxième très gros problème et ça on va couper tout de suite ça on va couper tout de,Inconnu
71,5085.8,5090.72,suite tout de suite tout de suite ça on n'avait pas vu ça mais maintenant je viens de le voir j'ai,Inconnu
72,5090.72,5097.92,coupé tout de suite donc cette annonce je la coupe immédiatement pourquoi je la coupe immédiatement,Inconnu
73,5097.92,5107.12,est ce que quelqu'un a une idée qu'est ce qui va pas là qu'est ce qui va pas sur cette photo,Inconnu
74,5107.12,5116.68,il ya des personnes sur la photo dont un enfant ça c'est gravissime ça paraît bête c'est,Inconnu
75,5117.16,5124.72,donc ce mandat je le coupe immédiatement ça c'est vraiment pas c'est vraiment pas bien,Inconnu
76,5124.72,5133.72,c'est coupé donc au-delà de ce problème là une annonce que vous prenez au format une photo,Inconnu
77,5133.72,5143.32,vous prenez au format portrait internet va bidouiller la photo pour la remettre au format,Inconnu
78,5143.32,5147.64,paysage et donc ça met quelque chose de dégueulasse ici de complètement déformé,Inconnu
79,5147.64,5153.68,voyez ici tout est déformé parce qu'il faut que ce soit format paysage si vous mettez une,Inconnu
80,5153.68,5159.2,photo format portrait tous les sites internet dont les glandines et à la lucabe et se loger,Inconnu
81,5159.2,5166.64,et le bon coin etc va déformer votre photo pour la forcer à rentrer dans le format paysage donc,Inconnu
82,5166.64,5172.04,attention mettez bien vous prenez vos photos à l'horizontale et pas la verticale et surtout,Inconnu
83,5172.04,5178.4,mais ne mettez pas des gens sur les photos c'est scandaleux ça c'est scandaleux donc ça j'ai,Inconnu
84,5178.4,5186.6,coupé l'annonce c'est fini l'agence manifestera là je suis intransigeant sur ces questions là,Inconnu
85,5186.6,5197.12,intransigeant ça c'est vraiment c'est pas que c'est pas bien Pierre dit pas en perdu mais en,Inconnu
86,5197.12,5201.44,attend non parce que si je mets l'annonce en attente l'agent peut la rediffuser lui-même,Inconnu
87,5201.44,5207.12,sans rien changer si je la mets en perdu il est obligé de passer par l'animation et nous on la,Inconnu
88,5207.12,5213.12,remettra en cours quand l'agent aura modifié toujours en parlant de photos pourquoi la photo,Inconnu
89,5213.12,5216.08,de notre portrait qu'on a fourni depuis un an quand on nous l'avait demandé il est toujours pas,Inconnu
90,5216.08,5221.04,utilisé sur le site à la lucarne je peux pas vous dire je sais pas parce que je sais qu'il y a des,Inconnu
91,5221.04,5225.16,modifications qui sont en cours sur le site à la lucarbe notamment dans la prévision des nouveaux,Inconnu
92,5225.16,5231.08,sites que michel vous a présenté à center parks je sais que c'est lié donc quelle est la raison,Inconnu
93,5231.08,5237.64,exacte je peux pas vous le dire mais c'est lié à ça donc je peux lui demander si vous voulez,Inconnu
94,5237.64,5242.56,la jet avait posé une question quels conseils nous donnez vous pour les nouveaux négociateurs dans,Inconnu
95,5242.56,5246.4,votre réseau pour tenir le champ dans les prochains mois et années et persévérer malgré la crise,Inconnu
96,5246.4,5251.96,la première chose la chose que je peux vous conseiller la jet c'est d'adhérer au programme,Inconnu
97,5251.96,5258.0,de monter en gamme qui a été prévu pour ça il a été prévu spécifiquement pour répondre à la,Inconnu
98,5258.0,5265.52,crise donc inscrivez-vous au programme de monter en gamme c'est exactement ça qu'on traite au cours,Inconnu
99,5265.52,5271.04,de ce programme de coaching individualisé au cours duquel on voit les bonnes actions à mettre en,Inconnu
100,5271.04,5277.84,oeuvre dans votre secteur pour justement non pas résister mais tirer profit de la crise donc voilà,Inconnu
101,5277.84,5281.4,vraiment le conseil que je peux vous donner inscrivez-vous au programme de monter en gamme,Inconnu
102,5281.4,5288.88,en parlant photo est-ce que l'optimisation des photos sur l'élantine a été revue alors ça est-ce,Inconnu
103,5288.88,5298.68,que vous en avez parlé à thierry lors de la comment ça s'appelle lors de center parks est-ce,Inconnu
104,5298.68,5303.56,que vous avez parlé à thierry parce que c'est quelque chose que thierry avait déjà réparé et,Inconnu
105,5303.56,5308.0,je sais pas où ça en est là il faudrait regarder si vous voulez on peut noter pour,Inconnu
106,5308.0,5312.56,regarder ça parce que thierry l'avait réparé il y a quoi il ya deux mois un truc comme ça donc,Inconnu
107,5312.56,5320.48,normalement c'est supposé ça devrait fonctionner c'est à voir je peux regarder c'était quoi la,Inconnu
108,5320.48,5324.08,panoptimisation basse et simplement il y en a un certain nombre d'entre vous c'était le cas,Inconnu
109,5324.08,5328.32,notamment avec hérite lemaire de nabon qui nous avait montré que chez lui ça fonctionnait pas ça,Inconnu
110,5328.32,5333.68,tournait dans le vide et vos photos elle ressortait pas optimisé je sais certains ça marchait chez les,Inconnu
111,5333.68,5341.8,autres ça marchait pas et on savait pas trop pourquoi donc ce que je vous propose sandrine,Inconnu
112,5341.8,5346.2,c'est envoyer ça par email à l'animation pour que demain ça puisse être transmis directement,Inconnu
113,5346.2,5355.04,dans l'endroit envoyer ça par email l'animation on est sûr de pas de pas oublier attendez je dois,Inconnu
114,5355.04,5365.72,couper quelque chose parce que hop là donc envoyez nous un petit mail pour pour en parler,Inconnu
115,5371.24,5377.12,voilà on a eu un premier accord de prise en charge d'agéfice c'est bien les agéfices,Inconnu
116,5377.12,5380.72,matthieu me dit ça les agéfices donnent les accords de prise en charge pour les pour les,Inconnu
117,5380.72,5388.4,formations de centre parks c'est bien la formation c'était il y a un mois c'est maintenant qui,Inconnu
118,5388.4,5393.12,donne les accords qu'on a le premier accord c'est positif c'est une bonne nouvelle mais,Inconnu
119,5393.12,5398.28,normalement on devrait les avoir avant la formation c'est pas des rapides est-ce que vous avez d'autres,Inconnu
120,5398.28,5401.68,questions ou est-ce qu'on a tout vu pour aujourd'hui j'ai dû faire des retours surtout sur plus long,Inconnu
121,5401.68,5404.96,j'ai connu ce blog je croyais qu'il y en avait un autre non non c'est le même c'est le même,Inconnu
122,5405.08,5414.04,on a tout vu si on a tout vu je vais vous libérer un petit peu plus tôt ce soir,Inconnu
123,5414.04,5419.48,simplement est-ce qu'il y a d'autres choses notées dans mon petit fichier qu'on n'aurait pas étudié,Inconnu
124,5419.48,5427.64,donc vous le voyez quand même au milieu de cette conjoncture assez morose pas mal de,Inconnu
125,5427.64,5437.0,bonnes nouvelles où on va dire de bonnes de beaux espoirs le programme de monter en,Inconnu
126,5437.0,5441.36,gamme qui fonctionne très bien adhérer à ce programme qui vous permet clairement de,Inconnu
127,5441.36,5448.44,tirer votre épingle du jeu dans ce contexte de marché immobilier plutôt délétère qu'optimiste,Inconnu
128,5448.44,5455.24,deuxième chose une possible baisse des taux au début 2024 c'est la première fois qu'on en,Inconnu
129,5455.24,5460.52,parle et puis 2 3 4 5 articles et puis les conseillers bancaires les cjp des laudis de,Inconnu
130,5460.52,5467.24,jose qui vont dans ce sens là on a des raisons de se dire tiens est-ce qu'il y a pas de l'optimisme,Inconnu
131,5467.24,5475.28,à l'horizon pour après les fêtes le bon coin des nouveaux services on voit que vous êtes très,Inconnu
132,5475.28,5479.84,clairement en pole position par rapport à vos concurrents c'est également très positif il,Inconnu
133,5479.84,5486.92,faut vous en parler à vos clients la chose que je vous dirais plus important c'est rentrer des,Inconnu
134,5486.92,5493.28,tonnes de mandats pour janvier et dès janvier il est encore temps de rentrer les mandats on est le,Inconnu
135,5493.28,5500.36,21 décembre on vous dira les gens sont les gens sont pas sont pas la fin ils ont pas la tête là,Inconnu
136,5500.36,5504.88,dedans non ceux qui vendent leur maison ils veulent la vendre il se disparaissait noël on,Inconnu
137,5504.88,5510.04,verra plus tard pas tous donc rentrer le maximum de mandat et dès janvier également mettez le,Inconnu
138,5510.04,5518.64,booster sur la rentrée à tout prix le maximum de mandat et puis bien sûr adhérer au programme de,Inconnu
139,5518.64,5523.64,monter en gamme c'est super super super super important est ce que j'ai goûté les biscuits oui,Inconnu
140,5523.64,5531.12,oui oui oui quelle délice quelle délice alors merci beaucoup c'est sandrine qui m'a offert très,Inconnu
141,5531.12,5536.88,gentiment de la tisane lors de une très belle place d'ailleurs aussi lors de la de la du,Inconnu
142,5536.88,5543.32,séminaire de septeur parks une tisane très bonne pour la santé en particulier pour ma santé donc,Inconnu
143,5543.32,5551.44,oui je l'ai goûté c'est délicieux je suis très tétisane moi j'aime beaucoup je suis très client donc,Inconnu
144,5551.44,5563.52,oui merci beaucoup beaucoup beaucoup Delphine bruchon a été oublié mais non Delphine j'ai,Inconnu
145,5563.52,5568.08,vu ça j'ai vu sa fiche à pas longtemps d'ailleurs on va aller la regarder ensemble si vous voulez,Inconnu
146,5568.08,5577.32,Véronique elle a pas été oubliée du tout j'ai vu sa fiche il y a quelques jours regardez ça c'est,Inconnu
147,5577.32,5583.96,la gestion des candidats à la lucarne j'en vois tous les jours j'adore aussi Delphine bruchon alors,Inconnu
148,5583.96,5587.76,là voyez c'est tous les candidats en ce moment qui veulent qui ont envoyé une demande de candidature,Inconnu
149,5587.76,5591.24,à la lucarne d'ailleurs un sujet on va en parler avec julien bientôt également avec guillaume et,Inconnu
150,5591.24,5597.92,avec mikaël on va en parler très très très rapidement et si je recherche,Inconnu
151,5597.92,5610.68,Delphine voilà elle est là et il va essayer de la recontacter,Inconnu
152,5610.68,5619.72,voyez ici va rester dans ce secteur activité ensuite Véronique a relancé sa candidature et,Inconnu
153,5619.8,5624.92,elle a été recontactée après le 7 décembre donc je peux essayer de voir éventuellement pour qu'on,Inconnu
154,5624.92,5633.52,la recontacte de l'autre côté bonne soirée bonne fin d'année c'est gentil d'accepter l'invitation,Inconnu
155,5633.52,5639.96,du 3 janvier avec grand plaisir avec beaucoup beaucoup beaucoup beaucoup de plaisir merci pour,Inconnu
156,5639.96,5642.84,votre temps vos réponses ça fait plaisir d'être dans un réseau qui nous prend en charge et nous,Inconnu
157,5642.84,5645.52,aident à apprendre un nouveau métier avec sérieux et efficace c'était géable de faire plus de,Inconnu
158,5645.52,5649.32,webinaire et de mettre en pratique les éléments enseignés bien écoutez bienvenue à vous madgette,Inconnu
159,5649.32,5656.6,vous avez un excellent état d'esprit c'est chouette bravo et on va on va on va tous tous tous bien vous,Inconnu
160,5656.6,5661.72,accueillir et bien nous occuper de vous soyez tranquille merci à toutes merci à tous d'avoir,Inconnu
161,5661.72,5666.04,été là ce soir pour cette visioconférence je vous souhaite d'excellentes fêtes de fin d'année en,Inconnu
162,5666.04,5671.56,particulier joyeux noël c'est évident c'est dans quelques jours même pour ceux qui ne fêtent pas,Inconnu
163,5671.56,5677.56,noël joyeux noël quand même c'est pas c'est pas quelque chose de vilain,Inconnu
164,5677.56,5685.68,excellentes fêtes à tous joyeux noël bonne année si on se reparle pas d'ici là bien,Inconnu
165,5685.68,5694.04,entendu rentrer le maximum de mandats c'est hyper important et on se revoit tous très vite juste,Inconnu
166,5694.04,5702.32,juste après les fêtes de toute manière pour une vision du jeudi merci à toi bonne fête de fin,Inconnu
167,5702.32,5708.4,d'année à toi et à ton chien mon chien aussi bien sûr ça c'est sûr joyeux noël à tous bonne fête,Inconnu
168,5708.4,5714.56,de fin d'année à tous et à toutes j'espère que matthieu sera avec vous ainsi que michel matthieu,Inconnu
169,5714.56,5721.76,je suis quasi sûr matthieu michel beaucoup moins merci à tous merci à toutes bonne fête à très,Inconnu
170,5721.96,5728.0,très bientôt pensez à moi pour mes questions sur la tva oui bien sûr on peut s'appeler demain si,Inconnu
171,5728.0,5731.28,vous voulez cendrine demain on peut s'appeler faites savoir à l'animation si c'est ok pour vous,Inconnu
172,5731.28,5737.68,merci à tous merci à toutes et au revoir au fait ma rupture conventionnelle de cd a été,Inconnu
173,5737.68,5742.28,refusé pour 23 ans ancienneté rien d'étonnant et mon patron il montre la suite ironique,Inconnu
174,5747.08,5750.24,si vous voulez d'ironique on peut en parler je veux pas me lâcher mais oui mais qui voudrait,Inconnu
175,5750.24,5755.16,vous lâcher l'ironique moi je veux pas vous lâcher non plus hein pas non plus car il a mon,Inconnu
176,5755.16,5760.0,travail mais moi j'ai pas envie de vous lâcher non plus ironique maintenant vous êtes ici vous,Inconnu
177,5760.0,5767.4,y restez mais ce quitterait pas la lucarne moi j'espère bien j'espère bien allez merci à,Inconnu
178,5767.4,5770.92,tous merci à toutes excellente soirée et à très très très bientôt,Inconnu
